Cluster,Score,Type,Gene,Symbol,Network
1,10.826086956521738,Clustered,8850,KAT2B,MyList_SUB1
1,10.826086956521738,Clustered,8332,H2AC16,MyList_SUB1
1,10.826086956521738,Clustered,8359,H4C1,MyList_SUB1
1,10.826086956521738,Seed,90378,SAMD1,MyList_SUB1
1,10.826086956521738,Clustered,85235,H2AC12,MyList_SUB1
1,10.826086956521738,Clustered,8366,H4C2,MyList_SUB1
1,10.826086956521738,Clustered,23774,BRD1,MyList_SUB1
1,10.826086956521738,Clustered,7862,BRPF1,MyList_SUB1
1,10.826086956521738,Clustered,8968,H3C7,MyList_SUB1
1,10.826086956521738,Clustered,8329,H2AC13,MyList_SUB1
1,10.826086956521738,Clustered,8355,H3C8,MyList_SUB1
1,10.826086956521738,Clustered,8365,H4C8,MyList_SUB1
1,10.826086956521738,Clustered,3009,H1-5,MyList_SUB1
1,10.826086956521738,Clustered,7403,KDM6A,MyList_SUB1
1,10.826086956521738,Clustered,8331,H2AC14,MyList_SUB1
1,10.826086956521738,Clustered,8361,H4C6,MyList_SUB1
1,10.826086956521738,Clustered,8352,H3C3,MyList_SUB1
1,10.826086956521738,Clustered,8360,H4C4,MyList_SUB1
1,10.826086956521738,Clustered,8356,H3C12,MyList_SUB1
1,10.826086956521738,Clustered,8358,H3C2,MyList_SUB1
1,10.826086956521738,Clustered,8340,H2BC13,MyList_SUB1
1,10.826086956521738,Clustered,8335,H2AC4,MyList_SUB1
1,10.826086956521738,Clustered,8336,H2AC17,MyList_SUB1
4,2.5,Clustered,5286,PIK3C2A,MyList_SUB1
4,2.5,Clustered,10254,STAM2,MyList_SUB1
4,2.5,Clustered,920,CD4,MyList_SUB1
4,2.5,Clustered,112574,SNX18,MyList_SUB1
4,2.5,Clustered,29993,PACSIN1,MyList_SUB1
4,2.5,Clustered,7037,TFRC,MyList_SUB1
2,2.3846153846153846,Clustered,11004,KIF2C,MyList_SUB1
2,2.3846153846153846,Clustered,22995,CEP152,MyList_SUB1
2,2.3846153846153846,Clustered,95681,CEP41,MyList_SUB1
2,2.3846153846153846,Clustered,220134,SKA1,MyList_SUB1
2,2.3846153846153846,Clustered,57787,MARK4,MyList_SUB1
2,2.3846153846153846,Clustered,51014,TMED7,MyList_SUB1
2,2.3846153846153846,Clustered,57082,KNL1,MyList_SUB1
2,2.3846153846153846,Clustered,1062,CENPE,MyList_SUB1
2,2.3846153846153846,Seed,57405,SPC25,MyList_SUB1
2,2.3846153846153846,Clustered,85378,TUBGCP6,MyList_SUB1
2,2.3846153846153846,Clustered,3832,KIF11,MyList_SUB1
2,2.3846153846153846,Clustered,4751,NEK2,MyList_SUB1
2,2.3846153846153846,Clustered,9371,KIF3B,MyList_SUB1
3,2.0,Clustered,9875,URB1,MyList_SUB1
3,2.0,Clustered,26523,AGO1,MyList_SUB1
3,2.0,Clustered,6491,STIL,MyList_SUB1
3,2.0,Clustered,161176,SYNE3,MyList_SUB1
3,2.0,Clustered,317781,DDX51,MyList_SUB1
3,2.0,Clustered,9710,GARRE1,MyList_SUB1
3,2.0,Clustered,9928,KIF14,MyList_SUB1
3,2.0,Clustered,7205,TRIP6,MyList_SUB1
3,2.0,Clustered,116840,CNTROB,MyList_SUB1
3,2.0,Clustered,7272,TTK,MyList_SUB1
3,2.0,Clustered,56342,PPAN,MyList_SUB1
3,2.0,Clustered,2976,GTF3C2,MyList_SUB1
5,2.0,Clustered,57678,GPAM,MyList_SUB1
5,2.0,Seed,150763,GPAT2,MyList_SUB1
5,2.0,Clustered,253558,LCLAT1,MyList_SUB1
5,2.0,Clustered,79143,MBOAT7,MyList_SUB1
5,2.0,Clustered,56895,AGPAT4,MyList_SUB1
7,1.5,Clustered,8111,GPR68,MyList_SUB1
7,1.5,Seed,4828,NMB,MyList_SUB1
7,1.5,Clustered,59345,GNB4,MyList_SUB1
7,1.5,Clustered,10911,UTS2,MyList_SUB1
8,1.5,Clustered,1191,CLU,MyList_SUB1
8,1.5,Clustered,2,A2M,MyList_SUB1
8,1.5,Clustered,1,A1BG,MyList_SUB1
8,1.5,Clustered,2153,F5,MyList_SUB1
6,1.0,Clustered,586,BCAT1,MyList_SUB1
6,1.0,Clustered,5198,PFAS,MyList_SUB1
6,1.0,Clustered,10606,PAICS,MyList_SUB1
6,1.0,Clustered,4363,ABCC1,MyList_SUB1
6,1.0,Clustered,1629,DBT,MyList_SUB1
9,1.0,Clustered,10171,RCL1,MyList_SUB1
9,1.0,Clustered,10940,POP1,MyList_SUB1
9,1.0,Clustered,11113,CIT,MyList_SUB1
10,1.0,Clustered,26173,INTS1,MyList_SUB1
10,1.0,Clustered,58490,RPRD1B,MyList_SUB1
10,1.0,Seed,57508,INTS2,MyList_SUB1
11,1.0,Seed,9968,MED12,MyList_SUB1
11,1.0,Clustered,6720,SREBF1,MyList_SUB1
11,1.0,Clustered,9862,MED24,MyList_SUB1
