_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-24,COVID038,M1,1,0,COVID,200,RNA_Sun_Calu-3_12h_Up,,-24,8.1,16,28160,300,464,40,8.6,1.3,567|1843|3433|3434|3437|3669|4599|4600|4938|4940|5359|5610|6772|7699|8638|8743|10346|10561|10964|11080|11274|23424|23586|24138|27074|51131|51191|51251|51513|54739|54809|55601|64108|64135|91351|91543|94240|129607|152926|219285,B2M|DUSP1|IFIT2|IFIT1|IFIT3|ISG20|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|ZNF140|OASL|TNFSF10|TRIM22|IFI44|IFI44L|DNAJB4|USP18|TDRD7|DDX58|IFIT5|LAMP3|PHF11|HERC5|NT5C3A|ETV7|XAF1|SAMD9|DDX60|RTP4|IFIH1|DDX60L|RSAD2|EPSTI1|CMPK2|PPM1K|SAMD9L,-21,0
1,-23,COVID028,M1,1,0,COVID,200,RNA_Lamers_intestinal-organoid_expansion_Up,,-23,11,17,28160,167,464,31,6.7,1.2,2537|3430|3433|3434|3437|4599|4938|4940|5359|6772|8519|8638|9111|9636|10346|10379|10410|10561|10964|23586|24138|51056|51191|54739|54809|55337|55601|64135|91543|94240|129607,IFI6|IFI35|IFIT2|IFIT1|IFIT3|MX1|OAS1|OAS3|PLSCR1|STAT1|IFITM1|OASL|NMI|ISG15|TRIM22|IRF9|IFITM3|IFI44|IFI44L|DDX58|IFIT5|LAP3|HERC5|XAF1|SAMD9|SHFL|DDX60|IFIH1|RSAD2|EPSTI1|CMPK2,-20,0
1,-23,COVID256,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C6_Up,,-23,12,17,28160,154,464,30,6.5,1.1,597|1191|2537|3433|3434|3437|3965|4061|4599|4600|4938|4940|5359|5610|6772|8638|9636|10346|10410|10561|10581|10964|51056|54739|54809|91351|91543|94240|129607|219285,BCL2A1|CLU|IFI6|IFIT2|IFIT1|IFIT3|LGALS9|LY6E|MX1|MX2|OAS1|OAS3|PLSCR1|EIF2AK2|STAT1|OASL|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|LAP3|XAF1|SAMD9|DDX60L|RSAD2|EPSTI1|CMPK2|SAMD9L,-20,0
1,-22,COVID299,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C6_Up,,-22,34,24,28160,30,464,17,3.7,0.87,2537|3437|3669|4599|4940|5610|6772|8743|9636|10346|10561|10964|54739|54809|55601|91543|219285,IFI6|IFIT3|ISG20|MX1|OAS3|EIF2AK2|STAT1|TNFSF10|ISG15|TRIM22|IFI44|IFI44L|XAF1|SAMD9|DDX60|RSAD2|SAMD9L,-19,0
1,-21,COVID252,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C4_Up,,-21,17,18,28160,78,464,22,4.7,0.99,1191|2537|3434|3437|3507|4599|4600|4938|4940|5359|6772|9636|10346|10410|10561|10581|10964|54739|54809|91543|94240|219285,CLU|IFI6|IFIT1|IFIT3|IGHM|MX1|MX2|OAS1|OAS3|PLSCR1|STAT1|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|XAF1|SAMD9|RSAD2|EPSTI1|SAMD9L,-18,0
1,-21,COVID357,M1,1,0,COVID,200,RNA_Zhang_T-cells_severe-only_Up,,-21,17,18,28160,79,464,22,4.7,0.99,1154|1471|2207|3433|3512|5473|5729|7305|8743|9111|9473|23586|51056|51191|51251|64167|84875|85441|91351|113402|259197|445815,CISH|CST3|FCER1G|IFIT2|JCHAIN|PPBP|PTGDR|TYROBP|TNFSF10|NMI|THEMIS2|DDX58|LAP3|HERC5|NT5C3A|ERAP2|PARP10|HELZ2|DDX60L|SFT2D1|NCR3|PALM2AKAP2,-17,0
1,-20,COVID280,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C4_Up,,-20,36,23,28160,25,464,15,3.2,0.82,2537|3437|3507|4599|4600|4940|6772|10346|10410|10561|10581|10964|54739|91543|219285,IFI6|IFIT3|IGHM|MX1|MX2|OAS3|STAT1|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|XAF1|RSAD2|SAMD9L,-17,0
1,-19,COVID268,M1,1,0,COVID,200,RNA_Wilk_CD16+Monocytes_patient-C5_Up,,-19,14,17,28160,100,464,23,5,1,2537|3315|3434|3437|4502|4599|4600|4940|5359|8638|9636|10410|10561|10964|26010|51056|51191|51251|64135|85441|91543|94240|219285,IFI6|HSPB1|IFIT1|IFIT3|MT2A|MX1|MX2|OAS3|PLSCR1|OASL|ISG15|IFITM3|IFI44|IFI44L|SPATS2L|LAP3|HERC5|NT5C3A|IFIH1|HELZ2|RSAD2|EPSTI1|SAMD9L,-16,0
1,-18,COVID266,M1,1,0,COVID,200,RNA_Wilk_CD16+Monocytes_patient-C4_Up,,-18,16,17,28160,77,464,20,4.3,0.94,2537|3105|3434|3437|3507|4599|4940|6772|9636|10410|10561|10964|54739|54809|55303|64135|91543|94240|140691|219285,IFI6|HLA-A|IFIT1|IFIT3|IGHM|MX1|OAS3|STAT1|ISG15|IFITM3|IFI44|IFI44L|XAF1|SAMD9|GIMAP4|IFIH1|RSAD2|EPSTI1|TRIM69|SAMD9L,-15,0
1,-17,COVID237,M1,1,0,COVID,200,Proteome_Klann_Caco-2_24h_Up,,-17,15,16,28160,76,464,19,4.1,0.92,2537|3433|3434|3437|3669|3965|4938|4940|5359|8743|9636|10346|10379|23586|51191|51251|64135|85441|94240,IFI6|IFIT2|IFIT1|IFIT3|ISG20|LGALS9|OAS1|OAS3|PLSCR1|TNFSF10|ISG15|TRIM22|IRF9|DDX58|HERC5|NT5C3A|IFIH1|HELZ2|EPSTI1,-14,0
