_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3,COVID361,M1,1,0,COVID,200,RNA_Zhang_B-cells_moderate-only_Up,,-3,8.8,5.3,28160,28,455,4,0.88,0.44,51131|51246|51510|91543,PHF11|SHISA5|CHMP5|RSAD2,-0.54,0
1,-2.9,COVID285,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C7_Up,,-2.9,8.5,5.2,28160,29,455,4,0.88,0.44,1026|1052|51056|64167,CDKN1A|CEBPD|LAP3|ERAP2,-0.5,0
1,-2.9,COVID290,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C1B-severe_Down,,-2.9,13,5.9,28160,14,455,3,0.66,0.38,6850|10578|10581,SYK|GNLY|IFITM2,-0.45,0
1,-2.7,COVID205,M1,1,0,COVID,200,Proteome_Li_Urine-severe-vs-healthy_Down,,-2.7,3.3,3.8,28160,170,455,9,2,0.65,3490|3512|5730|10385|10516|10577|28912|28914|51246,IGFBP7|JCHAIN|PTGDS|BTN2A2|FBLN5|NPC2|IGKV3-20|IGKV3-11|SHISA5,-0.35,0
1,-2.7,COVID347,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C6_Up,,-2.7,3.9,4,28160,110,455,7,1.5,0.58,241|2537|2934|4599|9636|10964|55603,ALOX5AP|IFI6|GSN|MX1|ISG15|IFI44L|TENT5A,-0.33,0
1,-2.4,COVID033,M1,1,0,COVID,200,RNA_Liao_BALF-severe-vs-mild_Down,,-2.4,2.5,3.3,28160,300,455,12,2.6,0.75,1891|2329|2793|2848|4509|6894|6981|27306|28518|51101|80746|122773,ECH1|FMO4|GNGT2|GPR25|ATP8|TARBP1|TRGV7|HPGDS|TRDV1|ZC2HC1A|TSEN2|KLHDC1,-0.13,0
1,-2.4,COVID036,M1,1,0,COVID,200,RNA_Sun_Calu-3_0h_Up,,-2.4,2.5,3.3,28160,300,455,12,2.6,0.75,1026|1052|4050|4938|4940|6303|8793|9050|9638|10385|29940|51513,CDKN1A|CEBPD|LTB|OAS1|OAS3|SAT1|TNFRSF10D|PSTPIP2|FEZ1|BTN2A2|DSE|ETV7,-0.13,0
1,-2.2,COVID337,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C1B-severe_Up,,-2.2,3.6,3.4,28160,104,455,6,1.3,0.53,3507|3512|4599|28797|28893|729230,IGHM|JCHAIN|MX1|IGLV3-19|IGKV1D-39|CCR2,0,0
1,-2.1,COVID271,M1,1,0,COVID,200,RNA_Wilk_CD16+Monocytes_patient-C7_Up,,-2.1,7.1,4,28160,26,455,3,0.66,0.38,10410|51056|64167,IFITM3|LAP3|ERAP2,0,0
1,-2,COVID365,M1,1,0,COVID,200,Interactome_Laurent_HEK293_24h_N,,-2,3.9,3.3,28160,79,455,5,1.1,0.49,3433|3434|3437|5610|24138,IFIT2|IFIT1|IFIT3|EIF2AK2|IFIT5,0,0
1,-2,COVID225,M1,1,0,COVID,200,Proteome_Bojkova_Caco-2_6h_Up,,-2,4.9,3.5,28160,51,455,4,0.88,0.44,684|1163|1191|91624,BST2|CKS1B|CLU|NEXN,0,0
