Cluster,Score,Type,Gene,Symbol,Network
1,11.375,Clustered,4600,MX2,MyList_SUB1
1,11.375,Clustered,5696,PSMB8,MyList_SUB1
1,11.375,Clustered,3669,ISG20,MyList_SUB1
1,11.375,Clustered,3430,IFI35,MyList_SUB1
1,11.375,Clustered,4599,MX1,MyList_SUB1
1,11.375,Clustered,10581,IFITM2,MyList_SUB1
1,11.375,Clustered,3437,IFIT3,MyList_SUB1
1,11.375,Clustered,91543,RSAD2,MyList_SUB1
1,11.375,Clustered,3665,IRF7,MyList_SUB1
1,11.375,Clustered,8638,OASL,MyList_SUB1
1,11.375,Clustered,3433,IFIT2,MyList_SUB1
1,11.375,Clustered,4940,OAS3,MyList_SUB1
1,11.375,Clustered,684,BST2,MyList_SUB1
1,11.375,Seed,2537,IFI6,MyList_SUB1
1,11.375,Clustered,3660,IRF2,MyList_SUB1
1,11.375,Clustered,10410,IFITM3,MyList_SUB1
1,11.375,Clustered,4939,OAS2,MyList_SUB1
1,11.375,Clustered,54739,XAF1,MyList_SUB1
1,11.375,Clustered,6773,STAT2,MyList_SUB1
1,11.375,Clustered,3434,IFIT1,MyList_SUB1
1,11.375,Clustered,4938,OAS1,MyList_SUB1
1,11.375,Clustered,10379,IRF9,MyList_SUB1
1,11.375,Clustered,3105,HLA-A,MyList_SUB1
1,11.375,Clustered,8519,IFITM1,MyList_SUB1
4,4.0,Clustered,9246,UBE2L6,MyList_SUB1
4,4.0,Clustered,63891,RNF123,MyList_SUB1
4,4.0,Clustered,10393,ANAPC10,MyList_SUB1
4,4.0,Clustered,51191,HERC5,MyList_SUB1
4,4.0,Clustered,140691,TRIM69,MyList_SUB1
4,4.0,Clustered,27338,UBE2S,MyList_SUB1
4,4.0,Clustered,6502,SKP2,MyList_SUB1
4,4.0,Clustered,9978,RBX1,MyList_SUB1
4,4.0,Seed,84727,SPSB2,MyList_SUB1
5,2.5,Clustered,29074,MRPL18,MyList_SUB1
5,2.5,Clustered,51650,MRPS33,MyList_SUB1
5,2.5,Clustered,28977,MRPL42,MyList_SUB1
5,2.5,Clustered,51023,MRPS18C,MyList_SUB1
5,2.5,Clustered,55168,MRPS18A,MyList_SUB1
5,2.5,Seed,64951,MRPS24,MyList_SUB1
3,2.4545454545454546,Clustered,4085,MAD2L1,MyList_SUB1
3,2.4545454545454546,Clustered,5525,PPP2R5A,MyList_SUB1
3,2.4545454545454546,Clustered,55166,CENPQ,MyList_SUB1
3,2.4545454545454546,Clustered,23421,ITGB3BP,MyList_SUB1
3,2.4545454545454546,Clustered,8742,TNFSF12,MyList_SUB1
3,2.4545454545454546,Clustered,4049,LTA,MyList_SUB1
3,2.4545454545454546,Seed,8740,TNFSF14,MyList_SUB1
3,2.4545454545454546,Clustered,4050,LTB,MyList_SUB1
3,2.4545454545454546,Clustered,5698,PSMB9,MyList_SUB1
3,2.4545454545454546,Clustered,140735,DYNLL2,MyList_SUB1
3,2.4545454545454546,Clustered,8379,MAD1L1,MyList_SUB1
6,2.0,Clustered,51079,NDUFA13,MyList_SUB1
6,2.0,Clustered,4704,NDUFA9,MyList_SUB1
