Network,Annotation
MyList,R-HSA-909733|Interferon alpha/beta signaling|-7.8;R-HSA-913531|Interferon Signaling|-6.5;GO:0140546|defense response to symbiont|-6.1
MyList_MCODE_ALL,R-HSA-909733|Interferon alpha/beta signaling|-7.8;R-HSA-913531|Interferon Signaling|-6.5;GO:0140546|defense response to symbiont|-6.1
MyList_SUB1_MCODE_1,R-HSA-909733|Interferon alpha/beta signaling|-7.8;R-HSA-913531|Interferon Signaling|-6.5;GO:0140546|defense response to symbiont|-6.1
