Cluster,Score,Type,Gene,Symbol,Network
1,9.904761904761905,Clustered,4600,MX2,MyList_SUB1
1,9.904761904761905,Clustered,3669,ISG20,MyList_SUB1
1,9.904761904761905,Clustered,3430,IFI35,MyList_SUB1
1,9.904761904761905,Clustered,4599,MX1,MyList_SUB1
1,9.904761904761905,Seed,10581,IFITM2,MyList_SUB1
1,9.904761904761905,Clustered,3663,IRF5,MyList_SUB1
1,9.904761904761905,Clustered,3437,IFIT3,MyList_SUB1
1,9.904761904761905,Clustered,91543,RSAD2,MyList_SUB1
1,9.904761904761905,Clustered,3665,IRF7,MyList_SUB1
1,9.904761904761905,Clustered,8638,OASL,MyList_SUB1
1,9.904761904761905,Clustered,3433,IFIT2,MyList_SUB1
1,9.904761904761905,Clustered,4940,OAS3,MyList_SUB1
1,9.904761904761905,Clustered,684,BST2,MyList_SUB1
1,9.904761904761905,Clustered,2537,IFI6,MyList_SUB1
1,9.904761904761905,Clustered,10410,IFITM3,MyList_SUB1
1,9.904761904761905,Clustered,54739,XAF1,MyList_SUB1
1,9.904761904761905,Clustered,6773,STAT2,MyList_SUB1
1,9.904761904761905,Clustered,3434,IFIT1,MyList_SUB1
1,9.904761904761905,Clustered,4938,OAS1,MyList_SUB1
1,9.904761904761905,Clustered,10379,IRF9,MyList_SUB1
1,9.904761904761905,Clustered,8519,IFITM1,MyList_SUB1
3,3.5,Clustered,57531,HACE1,MyList_SUB1
3,3.5,Clustered,9246,UBE2L6,MyList_SUB1
3,3.5,Clustered,4734,NEDD4,MyList_SUB1
3,3.5,Clustered,51191,HERC5,MyList_SUB1
3,3.5,Clustered,140691,TRIM69,MyList_SUB1
3,3.5,Clustered,27338,UBE2S,MyList_SUB1
3,3.5,Clustered,6502,SKP2,MyList_SUB1
3,3.5,Seed,84727,SPSB2,MyList_SUB1
2,3.4000000000000004,Clustered,2791,GNG11,MyList_SUB1
2,3.4000000000000004,Seed,2841,GPR18,MyList_SUB1
2,3.4000000000000004,Clustered,2770,GNAI1,MyList_SUB1
2,3.4000000000000004,Clustered,11251,PTGDR2,MyList_SUB1
2,3.4000000000000004,Clustered,2848,GPR25,MyList_SUB1
2,3.4000000000000004,Clustered,94235,GNG8,MyList_SUB1
2,3.4000000000000004,Clustered,5473,PPBP,MyList_SUB1
2,3.4000000000000004,Clustered,5729,PTGDR,MyList_SUB1
2,3.4000000000000004,Clustered,2793,GNGT2,MyList_SUB1
2,3.4000000000000004,Clustered,2838,GPR15,MyList_SUB1
5,2.0,Clustered,4085,MAD2L1,MyList_SUB1
5,2.0,Seed,55166,CENPQ,MyList_SUB1
5,2.0,Clustered,23421,ITGB3BP,MyList_SUB1
5,2.0,Clustered,140735,DYNLL2,MyList_SUB1
5,2.0,Clustered,8379,MAD1L1,MyList_SUB1
4,1.3333333333333333,Clustered,3822,KLRC2,MyList_SUB1
4,1.3333333333333333,Clustered,7305,TYROBP,MyList_SUB1
4,1.3333333333333333,Clustered,7462,LAT2,MyList_SUB1
4,1.3333333333333333,Clustered,2207,FCER1G,MyList_SUB1
4,1.3333333333333333,Seed,22914,KLRK1,MyList_SUB1
4,1.3333333333333333,Clustered,6850,SYK,MyList_SUB1
6,1.0,Seed,10437,IFI30,MyList_SUB1
6,1.0,Clustered,4502,MT2A,MyList_SUB1
6,1.0,Clustered,10346,TRIM22,MyList_SUB1
7,1.0,Clustered,5610,EIF2AK2,MyList_SUB1
7,1.0,Clustered,9636,ISG15,MyList_SUB1
7,1.0,Seed,11274,USP18,MyList_SUB1
8,1.0,Clustered,729230,CCR2,MyList_SUB1
8,1.0,Clustered,6846,XCL2,MyList_SUB1
8,1.0,Seed,6375,XCL1,MyList_SUB1
9,1.0,Seed,4050,LTB,MyList_SUB1
9,1.0,Clustered,4049,LTA,MyList_SUB1
9,1.0,Clustered,8742,TNFSF12,MyList_SUB1
10,1.0,Clustered,1191,CLU,MyList_SUB1
10,1.0,Clustered,1,A1BG,MyList_SUB1
10,1.0,Clustered,2,A2M,MyList_SUB1
11,1.0,Seed,10793,ZNF273,MyList_SUB1
11,1.0,Clustered,79788,ZNF665,MyList_SUB1
11,1.0,Clustered,58500,ZNF250,MyList_SUB1
12,1.0,Seed,5730,PTGDS,MyList_SUB1
12,1.0,Clustered,27306,HPGDS,MyList_SUB1
12,1.0,Clustered,8644,AKR1C3,MyList_SUB1
13,1.0,Clustered,11116,CEP43,MyList_SUB1
13,1.0,Clustered,22897,CEP164,MyList_SUB1
13,1.0,Seed,93323,HAUS8,MyList_SUB1
14,1.0,Clustered,84223,IQCG,MyList_SUB2
14,1.0,Clustered,4636,MYL5,MyList_SUB2
14,1.0,Seed,10398,MYL9,MyList_SUB2
