_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-71,COVID362,M1,1,0,COVID,200,RNA_Zhang_B-cells_severe-and-moderate_Up,,-71,40,44,28160,74,472,50,11,1.4,567|684|2537|3105|3430|3434|3437|3512|3514|3665|3669|4061|4502|4599|4600|4938|4939|4940|5359|5610|5696|5698|6772|8519|8743|9111|9246|9636|10346|10410|10561|10581|10589|10964|11274|51056|51191|51237|54739|54809|55337|55840|81030|83666|84941|94240|129607|152926|219285|440836,B2M|BST2|IFI6|HLA-A|IFI35|IFIT1|IFIT3|JCHAIN|IGKC|IRF7|ISG20|LY6E|MT2A|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|PSMB8|PSMB9|STAT1|IFITM1|TNFSF10|NMI|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|IFITM2|DRAP1|IFI44L|USP18|LAP3|HERC5|MZB1|XAF1|SAMD9|SHFL|EAF2|ZBP1|PARP9|HSH2D|EPSTI1|CMPK2|PPM1K|SAMD9L|ODF3B,-66,0
1,-66,COVID353,M1,1,0,COVID,200,RNA_Zhang_Monocytes_severe-and-moderate_Up,,-66,27,38,28160,127,472,57,12,1.5,567|684|1191|1521|2537|2896|3105|3428|3430|3433|3434|3437|3512|3514|3665|3669|3965|4061|4502|4599|4600|4938|4939|4940|5359|5610|5698|6772|6773|8519|8638|8743|9111|9246|9636|10346|10410|10561|10578|10581|10964|11274|26010|51056|51191|51251|51510|54625|54739|54809|81030|83666|91351|91543|94240|129607|219285,B2M|BST2|CLU|CTSW|IFI6|GRN|HLA-A|IFI16|IFI35|IFIT2|IFIT1|IFIT3|JCHAIN|IGKC|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|PSMB9|STAT1|STAT2|IFITM1|OASL|TNFSF10|NMI|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|GNLY|IFITM2|IFI44L|USP18|SPATS2L|LAP3|HERC5|NT5C3A|CHMP5|PARP14|XAF1|SAMD9|ZBP1|PARP9|DDX60L|RSAD2|EPSTI1|CMPK2|SAMD9L,-62,0
1,-65,COVID359,M1,1,0,COVID,200,RNA_Zhang_T-cells_severe-and-moderate_Up,,-65,25,37,28160,139,472,58,12,1.5,241|567|684|834|1521|1891|2537|3105|3428|3430|3434|3437|3561|3665|3669|3965|4061|4502|4599|4600|4938|4939|4940|5359|5610|5696|5698|6282|6772|8519|8638|9022|9246|9636|9978|10346|10410|10561|10578|10581|10589|10964|11274|51131|51348|51510|54739|54809|55337|81030|83666|84941|91543|94240|114769|129607|152926|219285,ALOX5AP|B2M|BST2|CASP1|CTSW|ECH1|IFI6|HLA-A|IFI16|IFI35|IFIT1|IFIT3|IL2RG|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|PSMB8|PSMB9|S100A11|STAT1|IFITM1|OASL|CLIC3|UBE2L6|ISG15|RBX1|TRIM22|IFITM3|IFI44|GNLY|IFITM2|DRAP1|IFI44L|USP18|PHF11|KLRF1|CHMP5|XAF1|SAMD9|SHFL|ZBP1|PARP9|HSH2D|RSAD2|EPSTI1|CARD16|CMPK2|PPM1K|SAMD9L,-61,0
1,-59,COVID356,M1,1,0,COVID,200,RNA_Zhang_NK-cells_severe-and-moderate_Up,,-59,30,37,28160,95,472,48,10,1.4,241|684|1521|2537|3105|3428|3430|3434|3437|3665|3669|3965|4061|4502|4599|4600|4938|4939|4940|5359|5610|5696|5698|6282|6772|8519|8638|9246|9636|10346|10410|10561|10964|11274|51348|51510|54739|54809|55337|81030|83666|91543|94240|114769|129607|152926|219285|440836,ALOX5AP|BST2|CTSW|IFI6|HLA-A|IFI16|IFI35|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|PSMB8|PSMB9|S100A11|STAT1|IFITM1|OASL|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|IFI44L|USP18|KLRF1|CHMP5|XAF1|SAMD9|SHFL|ZBP1|PARP9|RSAD2|EPSTI1|CARD16|CMPK2|PPM1K|SAMD9L|ODF3B,-55,0
1,-57,COVID011,M1,1,0,COVID,200,RNA_Blanco-Melo_A549-ACE2-ruxolitinib_Down,,-57,16,30,28160,233,472,63,13,1.6,684|840|2537|3428|3430|3433|3434|3437|3665|3669|4061|4502|4599|4600|4938|4939|4940|5359|5610|5696|5698|6737|6772|6773|8519|8638|8743|9111|9246|9636|10346|10379|10410|10561|10581|10964|11274|11277|23424|23586|24138|27074|51056|51131|51191|54625|54739|54809|55337|55601|64167|79132|83666|84941|85441|87178|91351|91543|94240|129607|152926|160897|219285,BST2|CASP7|IFI6|IFI16|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LY6E|MT2A|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|PSMB8|PSMB9|TRIM21|STAT1|STAT2|IFITM1|OASL|TNFSF10|NMI|UBE2L6|ISG15|TRIM22|IRF9|IFITM3|IFI44|IFITM2|IFI44L|USP18|TREX1|TDRD7|DDX58|IFIT5|LAMP3|LAP3|PHF11|HERC5|PARP14|XAF1|SAMD9|SHFL|DDX60|ERAP2|DHX58|PARP9|HSH2D|HELZ2|PNPT1|DDX60L|RSAD2|EPSTI1|CMPK2|PPM1K|GPR180|SAMD9L,-53,0
1,-52,COVID050,M1,1,0,COVID,200,RNA_Wyler_Calu-3_24h_Up,,-52,13,27,28160,300,472,65,14,1.6,567|684|3105|3428|3430|3433|3434|3437|3665|3669|3965|4061|4502|4599|4600|4938|4939|4940|5610|5696|5698|6737|6772|6773|8519|8638|8743|9111|9246|9636|10346|10410|10561|10581|10964|11080|11274|23424|23586|24138|27074|51056|51191|51251|51513|54625|54739|54809|55337|55601|64108|64167|79132|81030|83666|84941|85441|87178|91351|91543|94240|129607|140691|152926|219285,B2M|BST2|HLA-A|IFI16|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LY6E|MT2A|MX1|MX2|OAS1|OAS2|OAS3|EIF2AK2|PSMB8|PSMB9|TRIM21|STAT1|STAT2|IFITM1|OASL|TNFSF10|NMI|UBE2L6|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|DNAJB4|USP18|TDRD7|DDX58|IFIT5|LAMP3|LAP3|HERC5|NT5C3A|ETV7|PARP14|XAF1|SAMD9|SHFL|DDX60|RTP4|ERAP2|DHX58|ZBP1|PARP9|HSH2D|HELZ2|PNPT1|DDX60L|RSAD2|EPSTI1|CMPK2|TRIM69|PPM1K|SAMD9L,-48,0
1,-51,COVID048,M1,1,0,COVID,200,RNA_Wyler_Calu-3_12h_Up,,-51,13,27,28160,300,472,64,14,1.6,840|3428|3430|3433|3434|3437|3660|3665|3669|3965|4502|4599|4600|4938|4939|4940|5359|5610|5696|5698|6737|6772|6773|8638|8743|9111|9246|9636|10346|10379|10561|10581|10964|11080|11274|23424|23586|24138|27074|51056|51131|51191|51251|51513|54625|54739|54809|55337|55601|64108|64167|79132|83666|84941|85441|87178|91351|91543|94240|129607|140691|152926|219285|219790,CASP7|IFI16|IFI35|IFIT2|IFIT1|IFIT3|IRF2|IRF7|ISG20|LGALS9|MT2A|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|PSMB8|PSMB9|TRIM21|STAT1|STAT2|OASL|TNFSF10|NMI|UBE2L6|ISG15|TRIM22|IRF9|IFI44|IFITM2|IFI44L|DNAJB4|USP18|TDRD7|DDX58|IFIT5|LAMP3|LAP3|PHF11|HERC5|NT5C3A|ETV7|PARP14|XAF1|SAMD9|SHFL|DDX60|RTP4|ERAP2|DHX58|PARP9|HSH2D|HELZ2|PNPT1|DDX60L|RSAD2|EPSTI1|CMPK2|TRIM69|PPM1K|SAMD9L|RTKN2,-47,0
1,-42,COVID016,M1,1,0,COVID,200,RNA_Blanco-Melo_Calu-3_Up,,-42,11,23,28160,300,472,57,12,1.5,3428|3430|3433|3434|3437|3665|3669|3965|4050|4502|4599|4600|4938|4939|4940|5359|5610|6303|6737|6772|6773|8519|8638|8743|9111|9246|9636|10346|10379|10561|10964|11274|23424|23586|24138|27074|51056|51131|51191|51513|54625|54739|54809|55601|64108|79132|81030|83666|84941|85441|87178|91351|91543|94240|129607|152926|219285,IFI16|IFI35|IFIT2|IFIT1|IFIT3|IRF7|ISG20|LGALS9|LTB|MT2A|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|SAT1|TRIM21|STAT1|STAT2|IFITM1|OASL|TNFSF10|NMI|UBE2L6|ISG15|TRIM22|IRF9|IFI44|IFI44L|USP18|TDRD7|DDX58|IFIT5|LAMP3|LAP3|PHF11|HERC5|ETV7|PARP14|XAF1|SAMD9|DDX60|RTP4|DHX58|ZBP1|PARP9|HSH2D|HELZ2|PNPT1|DDX60L|RSAD2|EPSTI1|CMPK2|PPM1K|SAMD9L,-39,0
1,-40,COVID273,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C1A-mild_Up,,-40,42,34,28160,40,472,28,5.9,1.1,567|2537|3105|3437|3669|4061|4599|4600|4938|4939|4940|5359|5610|6772|9636|10346|10410|10561|10581|10964|51056|54739|54809|55601|91351|91543|94240|219285,B2M|IFI6|HLA-A|IFIT3|ISG20|LY6E|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|STAT1|ISG15|TRIM22|IFITM3|IFI44|IFITM2|IFI44L|LAP3|XAF1|SAMD9|DDX60|DDX60L|RSAD2|EPSTI1|SAMD9L,-37,0
1,-39,COVID297,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C5_Up,,-39,34,31,28160,52,472,30,6.4,1.1,2537|3428|3434|3437|3669|4599|4600|4938|4939|4940|5359|5610|6772|6773|6966|6967|8743|9636|10346|10561|10964|51191|54625|54739|54809|55601|83666|91543|94240|219285,IFI6|IFI16|IFIT1|IFIT3|ISG20|MX1|MX2|OAS1|OAS2|OAS3|PLSCR1|EIF2AK2|STAT1|STAT2|TRGC1|TRGC2|TNFSF10|ISG15|TRIM22|IFI44|IFI44L|HERC5|PARP14|XAF1|SAMD9|DDX60|PARP9|RSAD2|EPSTI1|SAMD9L,-36,0
